"","code","src_actor","month","tgt_actor","country_code","year","date8_val","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"604","010","","03","BWA","","2017",2017-03-26 20:00:00,"5a834082ff261b48ad0746ff_2","---CVL","20170327","CVL","",""," ",0,"wn_africa","01","","27","BWA",0,"","","https://article.wn.com/view/2017/03/28/lame_8211_a_revelation_of_what_botswana_is_yet_to_offer/"
"605","040","","03","","","2017",2017-03-26 20:00:00,"5a834083ff261b48ad07470a_5","---OPP","20170327","OPP","",""," ",1,"nigeria_sunnews","04","","27","---CVL",1,"CVL","","http://sunnewsonline.com/falana-commends-efcc-on-londonparis-club-loan-loot/"
"606","060","USA","03","USA","USA","2017",2017-03-26 20:00:00,"5a834084ff261b48ad07470e_1","USA","20170327","","47.50012",""," Washington",2,"wn_world","06","","27","USAGOV",6,"GOV","-120.50147","https://article.wn.com/view/2017/03/28/Trump_creates_office_to_bring_business_ideas_to_government_e/"
"607","130","USA","03","USA","USA","2017",2017-03-26 20:00:00,"5a83407eff261b48ad0746db_1","USA","20170327","","39.73915","","Denver ",3,"denverpost_politics","13","","27","USAGOV",-4.4,"GOV","-104.9847","http://www.denverpost.com/2017/03/27/ag-jeff-sessions-targets-sanctuary-cities-as-boulder-and-denver-vow-resistance/"
"608","015","IRQ","03","","IRQ","2017",2017-03-26 20:00:00,"5a834069ff261b48ad07460a_2","IRQCVL","20170327","CVL","36.335","","Mosul Muḩāfaz̧at Nīnawá",0,"sfgate_world","01","","27","---CVL",0,"CVL","43.11889","http://www.sfgate.com/news/world/article/Amnesty-Coalition-not-taking-adequate-11031652.php"
"609","015","IRQ","03","","IRQ","2017",2017-03-26 20:00:00,"5a834069ff261b48ad07460a_3","IRQCVL","20170327","CVL","36.335","","Mosul Muḩāfaz̧at Nīnawá",0,"sfgate_world","01","","27","---CVL",0,"CVL","43.11889","http://www.sfgate.com/news/world/article/Amnesty-Coalition-not-taking-adequate-11031652.php"
"610","015","IRQ","03","","IRQ","2017",2017-03-26 20:00:00,"5a834069ff261b48ad07460a_5","IRQCVL","20170327","CVL","36.335","","Mosul Muḩāfaz̧at Nīnawá",0,"sfgate_world","01","","27","---CVL",0,"CVL","43.11889","http://www.sfgate.com/news/world/article/Amnesty-Coalition-not-taking-adequate-11031652.php"
"611","190","IRQ","03","IRQ","IRQ","2017",2017-03-26 20:00:00,"5a834083ff261b48ad07470d_4","IRQ","20170327","","36.335","","Mosul Muḩāfaz̧at Nīnawá",4,"nzherald_world","19","","27","IRQ",-10,"","43.11889","http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11826944&ref=rss"
"612","080","","03","USA","USA","2017",2017-03-26 20:00:00,"5a834081ff261b48ad0746f6_5","---GOV","20170327","GOV","47.50012",""," Washington",2,"wn_world","08","","27","USAGOV",5,"GOV","-120.50147","https://article.wn.com/view/2017/03/28/Fingerpointing_on_Hill_as_GOP_assesses_health_bill_loss_z/"
"613","044","IGO","03","IGO","USA","2017",2017-03-26 20:00:00,"5a834083ff261b48ad074707_4","IGOUNO","20170327","","39.76","UNO","United States ",1,"wn_world","04","UNO","27","IGOUNO",2.5,"","-98.5","https://article.wn.com/view/2017/03/28/Nuclear_ban_talks_begin_at_UN_but_US_and_others_boycott_a/"
"614","010","USA","03","IGO","USA","2017",2017-03-26 20:00:00,"5a834083ff261b48ad074707_5","USAGOV","20170327","GOV","40.71427","","New York City New York",0,"wn_world","01","UNO;MED","27","IGOUNOMED",0,"","-74.00597","https://article.wn.com/view/2017/03/28/Nuclear_ban_talks_begin_at_UN_but_US_and_others_boycott_a/"
